k,custo,silhueta_media
2,1112.7552707182595,0.13361113475489048
3,1086.9598046619053,0.1284519924349663
4,1051.0379801696354,0.09668021573590145
5,1030.1727190444635,0.05295203824877033
6,1010.9653663589613,0.0537036115023897
