metrica,melhor_k,sil_melhor_k,sil_k3,melhor_sub_k,sil_divisivo,ari_divisivo_vs_k3,ari_k3_vs_baseline,grupos_k3
Euclidiana,2,0.3968291060780837,0.2295493627738198,2,0.2258176386167843,0.7415396392975133,0.5922683145997955,"[np.int64(3040), np.int64(2633), np.int64(1445)]"
Manhattan,2,0.3617762914320513,0.2269595897727106,2,0.2095810226859919,0.44990217876767635,0.5064211704144107,"[np.int64(3229), np.int64(2394), np.int64(1495)]"
Cosseno,2,0.4769571592017783,0.38783800341473257,2,0.3774768013834596,0.45404047030990363,0.5791216244912037,"[np.int64(2880), np.int64(2606), np.int64(1632)]"
Chebyshev,2,0.3664282887048507,0.2419757110648073,2,0.22628855134166362,0.4820960763884489,0.628604872214375,"[np.int64(3482), np.int64(2287), np.int64(1349)]"
