metrica,linkage,k,silhueta_media,cofenetica,n_grupos_obtidos,maior_grupo,menor_grupo
cosine,ward_corda,6,0.23030234830479512,0.4377315029830062,6,1828,506
cosine,ward_corda,7,0.23839405183600554,0.4377315029830062,7,1828,506
cosine,ward_corda,8,0.24544183433671643,0.4377315029830062,8,1828,506
cosine,complete,2,,0.37777430975407406,1,7118,7118
cosine,complete,3,,0.37777430975407406,1,7118,7118
cosine,complete,4,0.1936281272515787,0.37777430975407406,4,3425,491
cosine,complete,5,0.16183053048266233,0.37777430975407406,5,3425,76
cosine,complete,6,0.14547481069205942,0.37777430975407406,6,2584,76
cosine,complete,7,0.2058635795401143,0.37777430975407406,7,2129,76
cosine,complete,8,0.19829393551084257,0.37777430975407406,8,2129,76
cosine,average,2,0.4195153234314631,0.5440080929803169,2,5983,1135
cosine,average,3,0.2925472895795816,0.5440080929803169,3,5846,137
cosine,average,4,0.2513425284607204,0.5440080929803169,4,5376,137
cosine,average,5,0.23729353483215435,0.5440080929803169,5,5075,137
cosine,average,6,0.21884562840521773,0.5440080929803169,6,5075,9
cosine,average,7,0.1800053136977737,0.5440080929803169,7,5075,9
cosine,average,8,0.24955539892912854,0.5440080929803169,8,3582,9
cosine,single,2,0.5807895816348703,0.43883865878053885,2,7115,3
cosine,single,3,0.5160087614159334,0.43883865878053885,3,7114,1
cosine,single,4,0.43761431373221826,0.43883865878053885,4,7112,1
cosine,single,5,0.40481892176625534,0.43883865878053885,5,7108,1
cosine,single,6,0.3846757028487981,0.43883865878053885,6,7104,1
cosine,single,7,0.3365462393794234,0.43883865878053885,7,7096,1
cosine,single,8,0.3326733667200405,0.43883865878053885,8,7095,1
chebyshev,complete,2,,0.5934722825516242,1,7118,7118
chebyshev,complete,3,,0.5934722825516242,1,7118,7118
chebyshev,complete,4,,0.5934722825516242,1,7118,7118
chebyshev,complete,5,0.37693883036889164,0.5934722825516242,5,6425,14
chebyshev,complete,6,0.09523665409246522,0.5934722825516242,6,5226,14
chebyshev,complete,7,0.10230171948829976,0.5934722825516242,7,2794,14
chebyshev,complete,8,0.1266480642373608,0.5934722825516242,8,2794,14
chebyshev,average,2,0.6221114708629115,0.7566327025325551,2,7113,5
chebyshev,average,3,0.4808655744449781,0.7566327025325551,3,6570,5
chebyshev,average,4,0.38775667265757413,0.7566327025325551,4,6414,5
chebyshev,average,5,0.3446094591993975,0.7566327025325551,5,6338,5
chebyshev,average,6,0.3306602754715975,0.7566327025325551,6,6338,4
chebyshev,average,7,0.2712816160767307,0.7566327025325551,7,6164,4
chebyshev,average,8,0.2635051209273272,0.7566327025325551,8,6164,4
chebyshev,single,2,0.5132528048282062,0.583881249602789,2,7115,3
chebyshev,single,3,0.39636048297351173,0.583881249602789,3,7114,1
chebyshev,single,4,0.3963403973834622,0.583881249602789,4,7109,1
chebyshev,single,5,0.39084352656121685,0.583881249602789,5,7105,1
chebyshev,single,6,0.36907823666363937,0.583881249602789,6,7097,1
chebyshev,single,7,0.3682472106373455,0.583881249602789,7,7096,1
chebyshev,single,8,0.3233582082535843,0.583881249602789,8,7095,1
