k,custo,silhueta_media
2,624.4561983828772,0.2086000306385593
3,588.652217660532,0.18264099441492349
4,560.6909176532808,0.15737739773671924
5,533.1905695872831,0.14681323911412275
6,509.5627697007884,0.15313361850876142
