metrica,melhor_k,sil_melhor_k,sil_k3,melhor_sub_k,sil_divisivo,ari_divisivo_vs_k3,ari_k3_vs_baseline,grupos_k3
Euclidiana,2,0.3310368272301908,0.15180808460592693,2,0.12758510248911056,0.2915648022789724,0.2865598193646807,"[np.int64(4215), np.int64(1590), np.int64(1313)]"
Manhattan,2,0.32159707804978815,0.13052422817446083,2,0.12370970213163468,0.4601518205103195,0.5537840134755584,"[np.int64(3105), np.int64(2937), np.int64(1076)]"
Cosseno,2,0.35586474965459436,0.24317492763566784,2,0.22852014855687278,0.66196196667262,0.4182614789353696,"[np.int64(3128), np.int64(2307), np.int64(1683)]"
Chebyshev,2,0.43401813826675145,0.16128649698106917,2,0.11722277631124335,0.20951920349227593,0.28808681089166255,"[np.int64(4603), np.int64(1960), np.int64(555)]"
