cenario,modelo,auc_demo,auc_comp,auc_ambos,delta_comp_vs_demo,p_comp_vs_demo,delta_ambos_vs_comp,p_ambos_vs_comp
Curso completo,Logística,0.6566775746507691,0.9119336353944562,0.9122811032919961,0.2552560607436871,2.2697570850059684e-19,0.0003474678975398049,0.7921754081468381
Curso completo,Random Forest,0.622119607957968,0.9169303128017823,0.9164325663084322,0.29481070484381433,2.8369660401918903e-21,-0.0004977464933500376,0.518387812977047
Curso completo,MLP,0.602225225768977,0.8689254221365944,0.8996245201363458,0.2667001963676174,7.321576197152607e-16,0.030699097999751394,0.0053489573980759555
Alerta precoce,Logística,0.6566775746507691,0.784906002299521,0.7950412246502911,0.12822842764875175,4.281134555225501e-11,0.0101352223507702,0.0002474938657352101
Alerta precoce,Random Forest,0.622119607957968,0.7782145038341286,0.7899509648665705,0.15609489587616052,1.355009011301843e-13,0.011736461032441909,5.992398220656526e-09
Alerta precoce,MLP,0.602225225768977,0.7491840973304521,0.6725323773509138,0.14695887156147514,1.2889669481880416e-08,-0.07665171997953854,0.001245991088766362
