k,custo,silhueta_media
2,3808.514687337686,0.32159707804978815
3,3609.44056336794,0.13052422817446083
4,3504.897077647477,0.13225275133291325
5,3392.882825997652,0.16257018616208702
6,3349.724642944947,0.1656689757744679
7,3264.0485604609325,0.07008844585253934
8,3226.8853271280686,0.12194467572232326
