modelo,auc_volume,auc_ambos,delta_auc,p_t_pareado,p_wilcoxon,folds_melhora,n_folds
Logística,0.77188745225267,0.765548120225267,-0.006339332027403027,0.01029108679725572,0.013616561889648438,6,20
Random Forest,0.7695855110458278,0.764407682121105,-0.005177828924722972,0.3532367567637834,0.4523754119873047,7,20
MLP,0.7689062021929113,0.6406146318376089,-0.1282915703553023,1.109357656637237e-06,1.9073486328125e-06,0,20
