modelo,auc_volume,auc_ambos,delta_auc,p_t_pareado,p_wilcoxon,folds_melhora,n_folds
Logística,0.9037893093787949,0.8931976040282252,-0.010591705350569391,2.9717734756765037e-05,1.9073486328125e-05,2,20
Random Forest,0.906311417169438,0.9056508576591739,-0.000660559510264186,0.6986143481965962,0.5731689736636651,8,20
MLP,0.9028365140983106,0.8789718278801381,-0.023864686218172428,2.9752267321114303e-05,3.62396240234375e-05,2,20
