cluster,perfil,n_ciclos,silhueta_media,mediana_clicks,centro_de_massa
0,Adiantado,2360,0.18335903670663525,475.0,0.44098023559920335
1,Tardio,1283,0.3214346016352512,179.0,0.6994380886717914
2,Equilibrado,3475,0.26030181603030755,514.0,0.5449991300853865
