k,inercia,silhueta_media
2,217.688240974862,0.2503961474090039
3,179.4162162174428,0.2122082414484452
4,155.9671714100631,0.20442022430074747
5,137.3853432108878,0.21288236313590483
6,123.18053423811793,0.22043312350008204
