janela,conjunto,modelo,AUC,F1
EARLY,V (volume),"larga(128,64)",0.678,0.419
EARLY,V (volume),GBoost,0.674,0.498
EARLY,F (forma),"larga(128,64)",0.739,0.63
EARLY,F (forma),GBoost,0.738,0.63
EARLY,V+F,"larga(128,64)",0.742,0.624
EARLY,V+F,GBoost,0.741,0.633
FULL,V (volume),"larga(128,64)",0.793,0.703
FULL,V (volume),GBoost,0.788,0.695
FULL,F (forma),"larga(128,64)",0.89,0.844
FULL,F (forma),GBoost,0.888,0.843
FULL,V+F,"larga(128,64)",0.894,0.845
FULL,V+F,GBoost,0.892,0.843
