k,custo,silhueta_media
2,928.0882624580029,0.2292276032663615
3,854.8571587019803,0.21170734965021737
4,791.1624453958466,0.19845050807767983
5,748.7894887128602,0.19110467981014778
6,709.9188053614234,0.18979378184567122
